,Symbol,Name,Stock Exchange,RBICS Economy,Sales,MSCI ESG Rtg Score Environmental,MSCI ESG Rtg Score Governance,MSCI ESG Rtg Score Social,MSCI ESG Rtg Overall Company Rating,ESG Rating
0,A,"Agilent Technologies, Inc.",NYSE,Healthcare,"5,236.0",10.0,5.5,6.6,AAA,High
1,AAL,"American Airlines Group, Inc.",NASDAQ,Industrials,"33,361.0",3.3,5.1,2.5,CCC,Low
2,AAN,"Aaron's, Inc.",NYSE,Consumer Cyclicals,"4,098.8",3.4,6.2,4.8,A,High
3,AAOI,"Applied Optoelectronics, Inc.",NASDAQ,Technology,200.4,,,,@NA,Low
4,AAON,"AAON, Inc.",NASDAQ,Industrials,499.2,5.5,7.0,8.4,A,High
5,AAP,"Advance Auto Parts, Inc.",NYSE,Consumer Cyclicals,"9,454.8",2.0,5.4,4.6,BBB,Low
6,AAPL,Apple Inc.,NASDAQ,Technology,"273,420.0",3.8,4.6,5.5,A,High
7,AAT,"American Assets Trust, Inc.",NYSE,Finance,370.9,6.3,6.2,1.4,BB,Low
8,AAWW,"Atlas Air Worldwide Holdings, Inc.",NASDAQ,Industrials,"2,864.3",1.8,6.3,6.7,B,Low
9,AAXN,Axon Enterprise Inc,NASDAQ,Industrials,591.1,3.6,5.9,4.1,A,High
10,ABBV,"AbbVie, Inc.",NYSE,Healthcare,"36,227.0",4.9,5.6,5.0,A,High
11,ABC,AmerisourceBergen Corporation,NYSE,Healthcare,"186,287.0",10.0,5.1,3.0,BBB,Low
12,ABCB,Ameris Bancorp,NASDAQ,Finance,"1,070.2",1.2,6.7,4.0,BBB,Low
13,ABG,"Asbury Automotive Group, Inc.",NYSE,Consumer Cyclicals,"6,788.4",1.8,7.3,4.4,BBB,Low
14,ABM,ABM Industries Incorporated,NYSE,Business Services,"6,405.0",8.3,5.6,5.7,BBB,Low
15,ABMD,"ABIOMED, Inc.",NASDAQ,Healthcare,798.1,6.3,4.1,6.7,A,High
16,ABT,Abbott Laboratories,NYSE,Healthcare,"31,444.0",10.0,5.0,4.1,BBB,Low
17,ABTX,"Allegiance Bancshares, Inc.",NASDAQ,Finance,245.3,1.2,6.8,3.7,BB,Low
18,ACA,Arcosa Inc,NYSE,Industrials,"1,878.6",4.2,4.7,2.3,BBB,Low
19,ACC,"American Campus Communities, Inc.",NYSE,Finance,916.8,5.2,6.7,5.0,BBB,Low
20,ACHC,"Acadia Healthcare Company, Inc.",NASDAQ,Healthcare,"3,090.6",6.5,4.2,4.2,BBB,Low
21,ACIW,"ACI Worldwide, Inc.",NASDAQ,Technology,"1,346.2",4.6,7.3,5.3,AA,High
22,ACLS,"Axcelis Technologies, Inc.",NASDAQ,Technology,419.1,2.3,5.4,6.1,B,Low
23,ACM,AECOM,NYSE,Industrials,"14,786.6",4.8,5.2,5.2,AA,High
24,ACN,Accenture Plc Class A,NYSE,Technology,"44,547.4",6.7,6.8,5.3,AAA,High
25,ADBE,Adobe Inc.,NASDAQ,Technology,"12,010.7",3.8,5.9,6.9,AA,High
26,ADC,Agree Realty Corporation,NYSE,Finance,231.4,4.3,5.2,4.6,BB,Low
27,ADI,"Analog Devices, Inc.",NASDAQ,Technology,"5,544.0",5.6,4.7,6.0,BBB,Low
28,ADM,Archer-Daniels-Midland Company,NYSE,Consumer Non-Cyclicals,"64,277.0",5.9,4.8,3.7,A,High
29,ADNT,Adient plc,NYSE,Consumer Cyclicals,"12,994.0",2.8,5.9,3.7,B,Low
30,ADP,"Automatic Data Processing, Inc.",NASDAQ,Business Services,"14,589.8",10.0,6.2,4.4,A,High
31,ADS,Alliance Data Systems Corporation,NYSE,Finance,"5,259.7",10.0,6.7,2.3,BB,Low
32,ADSK,"Autodesk, Inc.",NASDAQ,Technology,"3,407.7",4.9,6.8,5.9,AA,High
33,ADTN,"ADTRAN, Inc.",NASDAQ,Technology,473.1,2.5,6.6,6.1,AA,High
34,ADUS,Addus HomeCare Corporation,NASDAQ,Healthcare,734.6,5.1,4.1,5.9,A,High
35,AEE,Ameren Corporation,NYSE,Utilities,"5,813.0",5.3,6.8,4.7,BBB,Low
36,AEGN,Aegion Corporation,NASDAQ,Industrials,"1,150.7",6.3,4.5,3.6,A,High
37,AEIS,"Advanced Energy Industries, Inc.",NASDAQ,Technology,"1,168.7",4.9,6.8,3.7,BB,Low
38,AEL,American Equity Investment Life Holding Company,NYSE,Finance,"2,358.6",3.2,6.6,3.6,BB,Low
39,AEO,"American Eagle Outfitters, Inc.",NYSE,Consumer Cyclicals,"3,973.6",4.9,3.9,5.3,A,High
40,AEP,"American Electric Power Company, Inc.",NYSE,Utilities,"15,153.5",6.1,6.0,5.8,A,High
41,AES,AES Corporation,NYSE,Utilities,"9,613.0",6.1,6.4,6.7,AA,High
42,AFG,"American Financial Group, Inc.",NYSE,Finance,"7,361.0",4.8,5.3,4.2,BB,Low
43,AFL,Aflac Incorporated,NYSE,Finance,"21,708.0",5.3,6.8,4.1,BBB,Low
44,AGCO,AGCO Corporation,NYSE,Industrials,"8,558.1",5.4,2.8,5.4,BBB,Low
45,AGYS,"Agilysys, Inc.",NASDAQ,Consumer Services,152.2,3.1,7.3,2.4,B,Low
46,AHH,"Armada Hoffler Properties, Inc.",NYSE,Finance,337.4,6.6,4.8,4.7,BBB,Low
47,AIG,"American International Group, Inc.",NYSE,Finance,"47,735.0",3.8,6.0,4.1,BB,Low
48,AIN,Albany International Corp. Class A,NYSE,Industrials,990.6,3.9,4.7,5.2,BB,Low
49,AIR,AAR CORP.,NYSE,Industrials,"2,072.0",2.4,4.0,5.6,BBB,Low
50,AIT,"Applied Industrial Technologies, Inc.",NYSE,Industrials,"3,245.7",2.3,6.4,5.0,BB,Low
51,AIV,Apartment Investment & Management Co Class A,NYSE,Finance,903.2,4.7,4.8,3.0,B,Low
52,AIZ,"Assurant, Inc.",NYSE,Finance,"10,149.3",4.0,7.6,4.8,BBB,Low
53,AJG,Arthur J. Gallagher & Co.,NYSE,Finance,"6,834.3",8.1,6.0,5.1,BBB,Low
54,AJRD,"Aerojet Rocketdyne Holdings, Inc.",NYSE,Industrials,"1,993.3",3.4,5.0,5.8,A,High
55,AKAM,"Akamai Technologies, Inc.",NASDAQ,Technology,"3,041.1",9.1,5.8,3.6,BBB,Low
56,AKR,Acadia Realty Trust,NYSE,Finance,371.9,4.4,4.1,4.5,B,Low
57,ALB,Albemarle Corporation,NYSE,Non-Energy Materials,"3,375.2",3.6,6.7,2.9,BB,Low
58,ALE,"ALLETE, Inc.",NYSE,Utilities,"1,147.7",4.7,7.3,1.7,BB,Low
59,ALEX,"Alexander & Baldwin, Inc.",NYSE,Finance,353.8,5.6,4.0,6.2,BBB,Low
60,ALG,Alamo Group Inc.,NYSE,Industrials,"1,155.1",2.6,7.4,5.6,BBB,Low
61,ALGN,"Align Technology, Inc.",NASDAQ,Healthcare,"2,160.4",6.4,5.4,5.6,BBB,Low
62,ALGT,Allegiant Travel Company,NASDAQ,Industrials,"1,440.1",0.0,5.3,5.7,BB,Low
63,ALK,"Alaska Air Group, Inc.",NYSE,Industrials,"6,674.0",3.8,6.3,4.1,BBB,Low
64,ALL,Allstate Corporation,NYSE,Finance,"44,125.0",2.5,6.2,4.3,BBB,Low
65,ALLE,Allegion PLC,NYSE,Non-Energy Materials,"2,738.9",5.4,7.3,6.6,AA,High
66,ALRM,"Alarm.com Holdings, Inc.",NASDAQ,Technology,561.9,4.3,6.6,2.6,B,Low
67,ALXN,"Alexion Pharmaceuticals, Inc.",NASDAQ,Healthcare,"5,495.2",5.6,5.1,3.8,BB,Low
68,AM,Antero Midstream Corp.,NYSE,Energy,"1,038.5",5.0,4.4,6.4,BB,Low
69,AMAG,"AMAG Pharmaceuticals, Inc.",NASDAQ,Healthcare,297.0,4.9,4.0,4.1,BB,Low
