Date,TB3
2015/8/20,0.02
2015/8/21,0.03
2015/8/24,0.06
2015/8/25,0.07
2015/8/26,0.06
2015/8/27,0.06
2015/8/28,0.06
2015/8/31,0.08
2015/9/1,0.03
2015/9/2,0.03
2015/9/3,0.02
2015/9/4,0.02
2015/9/7,.
2015/9/8,0.06
2015/9/9,0.03
2015/9/10,0.02
2015/9/11,0.04
2015/9/14,0.07
2015/9/15,0.07
2015/9/16,0.06
2015/9/17,0.01
2015/9/18,-0.01
2015/9/21,0.01
2015/9/22,-0.01
2015/9/23,0.01
2015/9/24,0.01
2015/9/25,-0.01
2015/9/28,0.01
2015/9/29,0.01
2015/9/30,-0.01
2015/10/1,-0.02
2015/10/2,0
2015/10/5,0.01
2015/10/6,0
2015/10/7,0
2015/10/8,-0.01
2015/10/9,0.01
2015/10/12,.
2015/10/13,0.01
2015/10/14,0
2015/10/15,0.01
2015/10/16,0.01
2015/10/19,0.02
2015/10/20,0.02
2015/10/21,0.01
2015/10/22,0
2015/10/23,0.01
2015/10/26,0.02
2015/10/27,0.03
2015/10/28,0.04
2015/10/29,0.07
2015/10/30,0.08
2015/11/2,0.08
2015/11/3,0.06
2015/11/4,0.05
2015/11/5,0.05
2015/11/6,0.08
2015/11/9,0.14
2015/11/10,0.13
2015/11/11,.
2015/11/12,0.14
2015/11/13,0.13
2015/11/16,0.15
2015/11/17,0.14
2015/11/18,0.12
2015/11/19,0.11
2015/11/20,0.11
2015/11/23,0.14
2015/11/24,0.16
2015/11/25,0.19
2015/11/26,.
2015/11/27,0.17
2015/11/30,0.22
2015/12/1,0.21
2015/12/2,0.21
2015/12/3,0.21
2015/12/4,0.22
2015/12/7,0.29
2015/12/8,0.27
2015/12/9,0.26
2015/12/10,0.24
2015/12/11,0.22
2015/12/14,0.26
2015/12/15,0.25
2015/12/16,0.27
2015/12/17,0.23
2015/12/18,0.19
2015/12/21,0.24
2015/12/22,0.21
2015/12/23,0.2
2015/12/24,0.2
2015/12/25,.
2015/12/28,0.23
2015/12/29,0.23
2015/12/30,0.21
2015/12/31,0.16
2016/1/1,.
2016/1/4,0.22
2016/1/5,0.2
2016/1/6,0.21
2016/1/7,0.2
2016/1/8,0.2
2016/1/11,0.21
2016/1/12,0.21
2016/1/13,0.22
2016/1/14,0.25
2016/1/15,0.23
2016/1/18,.
2016/1/19,0.26
2016/1/20,0.26
2016/1/21,0.28
2016/1/22,0.3
2016/1/25,0.31
2016/1/26,0.31
2016/1/27,0.32
2016/1/28,0.34
2016/1/29,0.32
2016/2/1,0.35
2016/2/2,0.34
2016/2/3,0.33
2016/2/4,0.29
2016/2/5,0.29
2016/2/8,0.32
2016/2/9,0.3
2016/2/10,0.31
2016/2/11,0.28
